URN,QCSI,QDataInput,QSamPrep,Qextraction,Qvalidation
394,5088.96696,283.08675,989.14605,3128.30912,1087.05549
395,5083.95348,269.47661,1003.7224,3099.12162,1088.24874
396,5048.66556,262.42011,1032.9099,3085.0464,1089.64446
397,5050.8482,221.94923,1046.98512,3068.1294,1090.72025
398,4938.13199,210.18449,1063.90212,3043.77206,1092.22467
399,4934.98811,203.65119,1088.25946,3024.97645,1093.71222
400,4910.39585,160.01435,1107.05507,3007.41113,1095.0576
401,4903.57085,149.9827,1124.62039,2996.12819,1096.36517
402,4893.29582,146.28063,1135.90333,2977.02383,1097.90998
403,4869.05329,93.7148,1155.00769,2958.20733,1099.32601
404,4687.59742,87.69187,1173.82419,2930.61271,1100.54332
405,4539.45175,73.9109,1201.41881,2907.07824,1102.34145
406,4463.85002,36.90198,1224.95328,2893.78883,1103.91073
407,4161.0206,16.16498,2284.63302,1818.63302,1107.07794
408,4079.77634,17.25146,1238.24269,1847.3985,1105.89228
409,4041.02517,396.63724,901.32308,1792.44293,1109.04577
410,3961.27366,377.50495,927.51317,1780.4038,1110.22316
411,3913.39444,365.92208,939.5523,1765.58247,1111.64415
412,4798.72657,341.37287,954.37363,1744.62906,1113.02413
413,4702.65742,310.57514,975.32704,1724.2291,1114.96378
414,4697.58863,296.12458,995.727,1699.26243,1116.07464
415,4698.14538,280.86357,1020.69367,1672.77577,1117.90096
416,4723.28034,253.5923,1047.18033,1650.1739,1119.82879
417,4643.33877,242.96059,1069.7822,1624.0046,1121.26884
418,4652.60269,221.25194,1095.9515,1597.96604,1122.46388
419,4675.06244,191.4359,1121.99006,1582.0449,1123.50392
420,4603.29944,180.47491,1137.9112,1557.14916,1124.87346
421,4472.67766,167.39856,1162.80694,1530.17285,1126.43357
422,4302.95201,128.42197,1189.78325,1504.75852,1128.01595
423,4226.56789,122.78664,1215.19758,1491.99323,1129.07534
424,4160.89812,104.73262,1227.96287,1466.74186,1130.69223
425,4188.9863,67.99353,1253.21424,1455.76973,1131.92867
426,4009.15147,54.56084,1264.18637,411.57343,1133.52299
427,4010.96271,42.56097,2308.38267,392.3094,1134.95678
428,3912.35217,3.44268,2327.6467,378.7489,1136.83441
429,3662.71268,414.69013,884.24634,362.79863,1138.39556
430,3624.50452,405.18504,900.19661,334.77167,1140.1044
431,3648.46474,365.07028,928.22357,312.76785,1141.49413
432,4632.37219,353.51562,950.22739,283.14236,1142.71174
433,4468.85399,341.34867,979.85288,272.86916,1143.99213
434,4489.28273,300.97938,990.12608,252.39761,1145.48241
435,4471.23587,298.75698,1010.59763,229.82214,1147.15008
